REF_DATE,GEO,DGUID,North American Product Classification System (NAPCS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1956-01,Canada,2016A000011124,Perishable prepared food [183612],"Index, 2010=100",184,units ,0,v79309290,1.154,,..,,,1
1956-01,Canada,2016A000011124,"Other miscellaneous food products, not elsewhere classified [183613]","Index, 2010=100",184,units ,0,v79309291,1.155,,..,,,1
1956-01,Canada,2016A000011124,Coffee and tea [191],"Index, 2010=100",184,units ,0,v79309292,1.156,,..,,,1
1956-01,Canada,2016A000011124,Coffee and tea [19111],"Index, 2010=100",184,units ,0,v79309293,1.157,,..,,,1
1956-01,Canada,2016A000011124,"Coffee, prepared for retail sale (except concentrates) [191111]","Index, 2010=100",184,units ,0,v79309294,1.158,21.7,,,,1
1956-01,Canada,2016A000011124,"Concentrated coffee, extracts, and substitutes [191112]","Index, 2010=100",184,units ,0,v79309295,1.159,,..,,,1
1956-01,Canada,2016A000011124,"Tea, prepared for retail sale [191113]","Index, 2010=100",184,units ,0,v79309296,1.16,,..,,,1
1956-01,Canada,2016A000011124,"Fresh, frozen and canned fruit and vegetable juices [192]","Index, 2010=100",184,units ,0,v79309297,1.161,,..,,,1
1956-01,Canada,2016A000011124,"Fresh, frozen and canned fruit and vegetable juices [19211]","Index, 2010=100",184,units ,0,v79309298,1.162,,..,,,1
1956-01,Canada,2016A000011124,Frozen juices and drinks [192111],"Index, 2010=100",184,units ,0,v79309299,1.163,,..,,,1
1956-01,Canada,2016A000011124,Fresh and canned fruit juices [192112],"Index, 2010=100",184,units ,0,v79309300,1.164,,..,,,1
1956-01,Canada,2016A000011124,Fresh and canned vegetable juices [192113],"Index, 2010=100",184,units ,0,v79309301,1.165,,..,,,1
1956-01,Canada,2016A000011124,Beverages (except juices) [P13],"Index, 2010=100",184,units ,0,v79309302,1.166,,..,,,1
1956-01,Canada,2016A000011124,"Bottled water, carbonated soft drinks, other beverages, and ice [193]","Index, 2010=100",184,units ,0,v79309303,1.167,,..,,,1
1956-01,Canada,2016A000011124,"Bottled water, carbonated soft drinks, other beverages, and ice [19311]","Index, 2010=100",184,units ,0,v79309304,1.168,,..,,,1
1956-01,Canada,2016A000011124,Carbonated drinks [193111],"Index, 2010=100",184,units ,0,v79309305,1.169,,..,,,1
1956-01,Canada,2016A000011124,"Non-carbonated drinks (except milk and juice), bottled water and ice [193112]","Index, 2010=100",184,units ,0,v79309306,1.17,,..,,,1
1956-01,Canada,2016A000011124,Alcoholic beverages [211],"Index, 2010=100",184,units ,0,v79309307,1.171,,..,,,1
1956-01,Canada,2016A000011124,Beer [21111],"Index, 2010=100",184,units ,0,v79309308,1.172,,..,,,1
1956-01,Canada,2016A000011124,Wine and brandy [21112],"Index, 2010=100",184,units ,0,v79309309,1.173,,..,,,1
1956-01,Canada,2016A000011124,Wine [211121],"Index, 2010=100",184,units ,0,v79309310,1.174,,..,,,1
1956-01,Canada,2016A000011124,Brandy and cider [211122],"Index, 2010=100",184,units ,0,v79309311,1.175,,..,,,1
1956-01,Canada,2016A000011124,Distilled liquor [21113],"Index, 2010=100",184,units ,0,v79309312,1.176,,..,,,1
1956-01,Canada,2016A000011124,Whisky [211131],"Index, 2010=100",184,units ,0,v79309313,1.177,,..,,,1
1956-01,Canada,2016A000011124,"Whisky, domestic [211131]","Index, 2010=100",184,units ,0,v79309314,1.178,,..,,,1
1956-01,Canada,2016A000011124,"Whisky, export [211131]","Index, 2010=100",184,units ,0,v79309315,1.179,,..,,,1
1956-01,Canada,2016A000011124,"Distilled liquor (except whisky, brandy and cider) [211132]","Index, 2010=100",184,units ,0,v79309316,1.18,,..,,,1
1956-01,Canada,2016A000011124,"Distilled liquor (except whisky, brandy and cider), domestic [211132]","Index, 2010=100",184,units ,0,v79309317,1.181,,..,,,1
1956-01,Canada,2016A000011124,"Distilled liquor (except whisky, brandy and cider), export [211132]","Index, 2010=100",184,units ,0,v79309318,1.182,,..,,,1
1956-01,Canada,2016A000011124,Tobacco products [P14],"Index, 2010=100",184,units ,0,v79309319,1.183,,..,,,1
1956-01,Canada,2016A000011124,Tobacco products [212],"Index, 2010=100",184,units ,0,v79309320,1.184,,..,,,1
1956-01,Canada,2016A000011124,"Cigarettes, cigars, chewing and smoking tobacco [21211]","Index, 2010=100",184,units ,0,v79309321,1.185,,..,,,1
1956-01,Canada,2016A000011124,Cigarettes [212111],"Index, 2010=100",184,units ,0,v79309322,1.186,5,,,,1
1956-01,Canada,2016A000011124,"Cigars, chewing and smoking tobacco [212112]","Index, 2010=100",184,units ,0,v79309323,1.187,,..,,,1
1956-01,Canada,2016A000011124,"Stemmed, redried or reconstituted tobacco [21212]","Index, 2010=100",184,units ,0,v79309324,1.188,,..,,,1
1956-01,Canada,2016A000011124,Textile and leather products [P21],"Index, 2010=100",184,units ,0,v79309325,1.189,,..,,,1
1956-01,Canada,2016A000011124,"Fabric, fibre and yarn, and leather and dressed furs [221]","Index, 2010=100",184,units ,0,v79309326,1.19,,..,,,1
1956-01,Canada,2016A000011124,Fabrics [22111],"Index, 2010=100",184,units ,0,v79309327,1.191,,..,,,1
1956-01,Canada,2016A000011124,Broad woven fabrics of cotton or wool [221111],"Index, 2010=100",184,units ,0,v79309328,1.192,,..,,,1
1956-01,Canada,2016A000011124,Broad woven fabrics (except cotton or wool) [221112],"Index, 2010=100",184,units ,0,v79309329,1.193,,..,,,1
1956-01,Canada,2016A000011124,Circular knit fabrics [221113],"Index, 2010=100",184,units ,0,v79309330,1.194,,..,,,1
1956-01,Canada,2016A000011124,Knit fabrics (except circular knit) [221114],"Index, 2010=100",184,units ,0,v79309331,1.195,,..,,,1
1956-01,Canada,2016A000011124,Narrow fabrics [221115],"Index, 2010=100",184,units ,0,v79309332,1.196,,..,,,1
1956-01,Canada,2016A000011124,Coated fabrics and coated yarns [221116],"Index, 2010=100",184,units ,0,v79309333,1.197,,..,,,1
1956-01,Canada,2016A000011124,Nonwoven fabrics and products [221117],"Index, 2010=100",184,units ,0,v79309334,1.198,,..,,,1
1956-01,Canada,2016A000011124,"Fibre, yarn, and thread (except artificial and synthetic fibre and filament) [22112]","Index, 2010=100",184,units ,0,v79309335,1.199,,..,,,1
1956-01,Canada,2016A000011124,"Fibre and yarn (except thread, filament yarn and coated yarn) [221121]","Index, 2010=100",184,units ,0,v79309336,1.2,,..,,,1
1956-01,Canada,2016A000011124,Thread (except covered rubber thread) [221122],"Index, 2010=100",184,units ,0,v79309337,1.201,,..,,,1
